"Scientific name","Target status","Surf zone","Kelp forest","Shallow reef","Deep reef"
"Agonidae spp","Nontargeted",NA,NA,NA,"X"
"Alopias vulpinus","Targeted",NA,"X","X",NA
"Ammodytes hexapterus","Targeted",NA,NA,NA,"X"
"Amphistichus argenteus","Targeted","X","X",NA,"X"
"Amphistichus koelzi","Targeted","X",NA,NA,NA
"Amphistichus rhodoterus","Targeted","X",NA,NA,NA
"Anarrhichthys ocellatus","Nontargeted",NA,"X","X","X"
"Anisotremus davidsonii","Targeted",NA,"X","X",NA
"Anoplagonus inermis","Nontargeted",NA,"X",NA,NA
"Anoplopoma fimbria","Targeted",NA,NA,NA,"X"
"Apodichthys flavidus","Nontargeted",NA,"X",NA,NA
"Apogon guadalupensis","Nontargeted",NA,"X",NA,NA
"Apristurus brunneus","Nontargeted",NA,NA,NA,"X"
"Artedius harringtoni","Nontargeted",NA,NA,"X",NA
"Atherinidae spp","Targeted","X",NA,NA,NA
"Atherinops affinis","Targeted","X",NA,"X",NA
"Atherinopsidae spp","Nontargeted",NA,"X","X",NA
"Atherinopsis californiensis","Targeted",NA,NA,"X",NA
"Atractoscion nobilis","Targeted","X","X","X",NA
"Aulorhynchus flavidus","Nontargeted","X","X","X","X"
"Balistes polylepis","Nontargeted",NA,"X",NA,NA
"Bathymasteridae spp","Nontargeted",NA,"X",NA,NA
"Beringraja binoculata","Targeted",NA,"X",NA,"X"
"Beringraja rhina","Targeted",NA,NA,NA,"X"
"Beringraja stellulata","Targeted",NA,"X","X","X"
"Bothidae spp","Targeted",NA,"X",NA,NA
"Brachygenys californiensis","Targeted",NA,"X","X",NA
"Brachyistius frenatus","Nontargeted","X","X",NA,"X"
"Caliraja spp","Targeted",NA,NA,NA,"X"
"Carcharhinus obscurus","Targeted",NA,"X",NA,NA
"Caulolatilus princeps","Targeted",NA,"X","X","X"
"Cebidichthys violaceus","Targeted",NA,"X",NA,NA
"Cephaloscyllium ventriosum","Nontargeted",NA,"X",NA,"X"
"Cheilotrema saturnum","Targeted","X","X",NA,NA
